type,id_simulated,num_nodes,tour,cost,start,end,seconds
GA-N,55,8,"[6, 4, 0, 5, 7, 3, 2, 1]",383,2024-09-29 02:39:51.622461,2024-09-29 02:39:51.634995,0.012534
B&B,56,8,"[0, 6, 7, 4, 5, 1, 3, 2]",734,2024-09-29 02:39:51.635106,2024-09-29 02:39:51.644185,0.009079
GA-P,56,8,"[0, 2, 3, 1, 5, 4, 7, 6]",734,2024-09-29 02:39:51.644284,2024-09-29 02:39:51.663744,0.01946
GA-N,56,8,"[2, 3, 1, 5, 4, 7, 6, 0]",734,2024-09-29 02:39:51.663849,2024-09-29 02:39:51.684142,0.020293
B&B,57,8,"[0, 3, 5, 2, 7, 4, 1, 6]",497,2024-09-29 02:39:51.684212,2024-09-29 02:39:51.689073,0.004861
GA-P,57,8,"[4, 1, 6, 0, 3, 5, 2, 7]",497,2024-09-29 02:39:51.689167,2024-09-29 02:39:51.702783,0.013616
GA-N,57,8,"[5, 3, 0, 6, 1, 4, 7, 2]",497,2024-09-29 02:39:51.702886,2024-09-29 02:39:51.720220,0.017334
B&B,58,8,"[0, 2, 5, 6, 3, 1, 7, 4]",427,2024-09-29 02:39:51.720334,2024-09-29 02:39:51.724890,0.004556
GA-P,58,8,"[1, 3, 6, 5, 2, 0, 4, 7]",427,2024-09-29 02:39:51.724984,2024-09-29 02:39:51.739684,0.0147
GA-N,58,8,"[7, 1, 3, 6, 5, 2, 0, 4]",427,2024-09-29 02:39:51.739824,2024-09-29 02:39:51.751467,0.011643
B&B,59,8,"[0, 3, 7, 5, 1, 4, 2, 6]",560,2024-09-29 02:39:51.751537,2024-09-29 02:39:51.756824,0.005287
GA-P,59,8,"[6, 0, 3, 7, 5, 1, 4, 2]",560,2024-09-29 02:39:51.756964,2024-09-29 02:39:51.778509,0.021545
GA-N,59,8,"[2, 4, 1, 5, 7, 3, 0, 6]",560,2024-09-29 02:39:51.778619,2024-09-29 02:39:51.797005,0.018386
B&B,60,9,"[0, 7, 4, 8, 1, 3, 5, 6, 2]",552,2024-09-29 02:39:51.797086,2024-09-29 02:39:51.820281,0.023195
GA-P,60,9,"[1, 3, 5, 6, 2, 0, 7, 4, 8]",552,2024-09-29 02:39:51.820404,2024-09-29 02:39:51.840036,0.019632
GA-N,60,9,"[4, 8, 1, 3, 5, 6, 2, 0, 7]",552,2024-09-29 02:39:51.840198,2024-09-29 02:39:51.857533,0.017335
B&B,61,9,"[0, 6, 1, 8, 7, 3, 2, 5, 4]",583,2024-09-29 02:39:51.857612,2024-09-29 02:39:51.882107,0.024495
GA-P,61,9,"[8, 1, 6, 0, 4, 5, 2, 3, 7]",583,2024-09-29 02:39:51.882224,2024-09-29 02:39:51.920474,0.03825
GA-N,61,9,"[2, 3, 7, 8, 1, 6, 0, 4, 5]",583,2024-09-29 02:39:51.920594,2024-09-29 02:39:51.948258,0.027664
B&B,62,9,"[0, 2, 8, 1, 5, 7, 6, 4, 3]",456,2024-09-29 02:39:51.948379,2024-09-29 02:39:51.966880,0.018501
GA-P,62,9,"[7, 5, 1, 8, 2, 0, 3, 4, 6]",456,2024-09-29 02:39:51.966994,2024-09-29 02:39:51.983968,0.016974
GA-N,62,9,"[5, 7, 6, 4, 3, 0, 2, 8, 1]",456,2024-09-29 02:39:51.984088,2024-09-29 02:39:52.015031,0.030943
B&B,63,9,"[0, 6, 3, 5, 1, 8, 4, 7, 2]",542,2024-09-29 02:39:52.015112,2024-09-29 02:39:52.061104,0.045992
GA-P,63,9,"[4, 5, 3, 7, 2, 0, 6, 1, 8]",542,2024-09-29 02:39:52.061224,2024-09-29 02:39:52.084457,0.023233
GA-N,63,9,"[1, 5, 3, 6, 0, 2, 7, 4, 8]",542,2024-09-29 02:39:52.084578,2024-09-29 02:39:52.102354,0.017776
B&B,64,9,"[0, 1, 6, 8, 3, 2, 7, 5, 4]",596,2024-09-29 02:39:52.102432,2024-09-29 02:39:52.127069,0.024637
GA-P,64,9,"[1, 0, 4, 5, 7, 2, 3, 8, 6]",596,2024-09-29 02:39:52.127182,2024-09-29 02:39:52.145556,0.018374
GA-N,64,9,"[6, 8, 3, 2, 7, 5, 4, 0, 1]",596,2024-09-29 02:39:52.145729,2024-09-29 02:39:52.161470,0.015741
B&B,65,9,"[0, 5, 3, 2, 4, 6, 1, 8, 7]",805,2024-09-29 02:39:52.161547,2024-09-29 02:39:52.220475,0.058928
GA-P,65,9,"[1, 6, 4, 2, 3, 5, 0, 7, 8]",805,2024-09-29 02:39:52.220600,2024-09-29 02:39:52.243555,0.022955
GA-N,65,9,"[6, 1, 8, 7, 0, 5, 3, 2, 4]",805,2024-09-29 02:39:52.243723,2024-09-29 02:39:52.261399,0.017676
B&B,66,9,"[0, 3, 6, 7, 2, 1, 8, 4, 5]",641,2024-09-29 02:39:52.261476,2024-09-29 02:39:52.303030,0.041554
GA-P,66,9,"[2, 7, 6, 3, 0, 5, 4, 8, 1]",641,2024-09-29 02:39:52.303201,2024-09-29 02:39:52.321944,0.018743
GA-N,66,9,"[4, 5, 0, 3, 6, 7, 2, 1, 8]",641,2024-09-29 02:39:52.322116,2024-09-29 02:39:52.344257,0.022141
B&B,67,9,"[0, 2, 1, 5, 8, 4, 6, 7, 3]",605,2024-09-29 02:39:52.344379,2024-09-29 02:39:52.370344,0.025965
GA-P,67,9,"[6, 4, 8, 5, 1, 2, 0, 3, 7]",605,2024-09-29 02:39:52.370516,2024-09-29 02:39:52.389297,0.018781
GA-N,67,9,"[7, 6, 4, 8, 5, 1, 2, 0, 3]",605,2024-09-29 02:39:52.389417,2024-09-29 02:39:52.406606,0.017189
